,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
191,1,1410,50,Math,Partially Met,6,0,4
192,1,1410,50,Math,Approached,6,9,11
193,1,1410,50,Math,Met,17,9,23
194,1,1410,50,Math,Exceeded,2,2,4
195,1,1540,50,ELA,Did Not Yet Meet,3,3,3
196,1,1540,50,ELA,Partially Met,5,7,7
197,1,1540,50,ELA,Approached,13,11,11
198,1,1540,50,ELA,Met,12,11,12
199,1,1540,50,ELA,Exceeded,1,0,0
200,1,1540,50,Math,Did Not Yet Meet,1,1,2
201,1,1540,50,Math,Partially Met,7,8,14
202,1,1540,50,Math,Approached,13,15,16
203,1,1540,50,Math,Met,10,10,4
204,1,1540,50,Math,Exceeded,0,1,0
205,1,1690,15,ELA,Did Not Yet Meet,0,2,3
206,1,1690,15,ELA,Partially Met,5,4,6
207,1,1690,15,ELA,Approached,9,7,9
208,1,1690,15,ELA,Met,20,12,19
209,1,1690,15,ELA,Exceeded,2,0,1
210,1,1690,15,Math,Did Not Yet Meet,2,1,2
211,1,1690,15,Math,Partially Met,4,5,9
212,1,1690,15,Math,Approached,10,9,13
213,1,1690,15,Math,Met,12,17,13
214,1,1690,15,Math,Exceeded,2,1,2
215,1,1690,16,ELA,Did Not Yet Meet,4,2,1
216,1,1690,16,ELA,Partially Met,6,5,5
217,1,1690,16,ELA,Approached,10,9,8
218,1,1690,16,ELA,Met,14,11,12
219,1,1690,16,ELA,Exceeded,5,3,5
220,1,1690,45,ELA,Did Not Yet Meet,1,2,1
221,1,1690,45,ELA,Partially Met,6,4,4
222,1,1690,45,ELA,Approached,9,9,10
223,1,1690,45,ELA,Met,19,13,17
224,1,1690,45,ELA,Exceeded,0,3,2
225,1,1690,45,Math,Did Not Yet Meet,2,1,0
226,1,1690,45,Math,Partially Met,5,4,8
227,1,1690,45,Math,Approached,5,12,17
228,1,1690,45,Math,Met,8,14,20
229,1,1690,45,Math,Exceeded,1,1,2
230,1,1690,46,ELA,Did Not Yet Meet,2,2,4
231,1,1690,46,ELA,Partially Met,1,5,6
232,1,1690,46,ELA,Approached,8,9,10
