COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
01,2680,050,ELA,Did Not Yet Meet,2,1,3
01,2680,050,ELA,Partially Met,2,1,0
01,2680,050,ELA,Approached,3,10,7
01,2680,050,ELA,Met,19,20,19
01,2680,050,ELA,Exceeded,8,1,2
01,2680,050,Math,Did Not Yet Meet,1,0,0
01,2680,050,Math,Partially Met,2,0,1
01,2680,050,Math,Approached,7,3,2
01,2680,050,Math,Met,32,26,11
01,2680,050,Math,Exceeded,7,3,2
01,3020,010,ELA,Partially Met,0,1,1
01,3020,010,ELA,Approached,2,2,21
01,3020,010,ELA,Met,2,8,40
01,3020,010,ELA,Exceeded,0,3,21
01,3020,010,Math,Partially Met,0,7,4
01,3020,010,Math,Approached,3,4,13
01,3020,010,Math,Met,7,13,31
01,3020,010,Math,Exceeded,4,3,7
01,3020,025,ELA,Did Not Yet Meet,0,0,3
01,3020,025,ELA,Partially Met,0,5,0
01,3020,025,ELA,Approached,5,5,5
01,3020,025,ELA,Met,41,23,5
01,3020,025,ELA,Exceeded,3,3,3
01,3020,025,Math,Partially Met,3,3,5
01,3020,025,Math,Approached,8,3,5
01,3020,025,Math,Met,28,21,5
01,3020,025,Math,Exceeded,10,5,5
01,3480,020,ELA,Did Not Yet Meet,7,4,4
01,3480,020,ELA,Partially Met,10,10,4
01,3480,020,ELA,Approached,12,10,6
01,3480,020,ELA,Met,7,10,12
01,3480,020,Math,Partially Met,4,4,1
01,3480,020,Math,Approached,19,16,9
01,3480,020,Math,Met,12,16,10
01,3480,020,Math,Exceeded,4,0,1
01,3480,025,ELA,Did Not Yet Meet,4,1,2
01,3480,025,ELA,Partially Met,9,4,3
01,3480,025,ELA,Approached,19,10,2
01,3480,025,ELA,Met,16,16,6
01,3480,025,ELA,Exceeded,4,1,2
01,3480,025,Math,Did Not Yet Meet,3,2,2
01,3480,025,Math,Partially Met,16,7,12
01,3480,025,Math,Approached,15,14,12
01,3480,025,Math,Met,9,3,4
01,3480,025,Math,Exceeded,1,1,0
01,3720,056,ELA,Did Not Yet Meet,1,2,1
01,3720,056,ELA,Partially Met,3,6,7
01,3720,056,ELA,Approached,17,8,6
01,3720,056,ELA,Met,18,13,10
01,3720,056,ELA,Exceeded,3,3,2
01,3720,056,Math,Did Not Yet Meet,1,0,1
01,3720,056,Math,Partially Met,9,4,4
01,3720,056,Math,Approached,9,9,11
01,3720,056,Math,Met,15,19,12
01,3720,056,Math,Exceeded,1,1,3
01,3720,057,ELA,Did Not Yet Meet,1,0,4
01,3720,057,ELA,Partially Met,8,8,1
01,3720,057,ELA,Approached,15,5,4
01,3720,057,ELA,Met,22,13,16
01,3720,057,ELA,Exceeded,1,0,3
01,3720,057,Math,Did Not Yet Meet,0,0,1
01,3720,057,Math,Partially Met,3,4,4
01,3720,057,Math,Approached,14,8,5
01,3720,057,Math,Met,18,14,12
01,3720,057,Math,Exceeded,6,9,3
01,4180,055,ELA,Did Not Yet Meet,8,7,6
01,4180,055,ELA,Partially Met,10,8,11
01,4180,055,ELA,Approached,10,11,12
01,4180,055,ELA,Met,6,6,5
01,4180,055,ELA,Exceeded,1,1,0
01,4180,055,Math,Did Not Yet Meet,3,6,8
01,4180,055,Math,Partially Met,11,16,14
01,4180,055,Math,Approached,12,12,7
01,4180,055,Math,Met,5,4,2
01,4180,055,Math,Exceeded,0,0,0
01,4180,060,ELA,Did Not Yet Meet,12,12,7
01,4180,060,ELA,Partially Met,3,7,13
01,4180,060,ELA,Approached,0,12,13
01,4180,060,ELA,Met,3,8,8
01,4180,060,ELA,Exceeded,0,0,2
01,4180,060,Math,Did Not Yet Meet,0,5,8
01,4180,060,Math,Partially Met,8,8,13
01,4180,060,Math,Approached,6,13,13
01,4180,060,Math,Met,5,5,13
01,4180,060,Math,Exceeded,0,2,2
01,4180,080,ELA,Did Not Yet Meet,5,3,7
01,4180,080,ELA,Partially Met,8,4,9
01,4180,080,ELA,Approached,9,10,13
01,4180,080,ELA,Met,8,9,9
01,4180,080,ELA,Exceeded,3,2,1
01,4180,080,Math,Did Not Yet Meet,2,4,3
01,4180,080,Math,Partially Met,13,7,8
01,4180,080,Math,Approached,13,11,10
01,4180,080,Math,Met,12,9,4
01,4180,080,Math,Exceeded,2,1,2
01,4180,085,ELA,Did Not Yet Meet,9,9,3
01,4180,085,ELA,Partially Met,4,16,4
01,4180,085,ELA,Approached,16,9,10
01,4180,085,ELA,Met,9,4,1
01,4180,085,ELA,Exceeded,3,0,0
01,4180,085,Math,Did Not Yet Meet,4,9,0
01,4180,085,Math,Partially Met,18,12,6
01,4180,085,Math,Approached,15,7,6
01,4180,085,Math,Met,12,4,6
01,4180,095,ELA,Did Not Yet Meet,3,6,5
01,4180,095,ELA,Partially Met,6,8,11
01,4180,095,ELA,Approached,9,9,9
01,4180,095,ELA,Met,15,9,7
01,4180,095,ELA,Exceeded,1,0,0
01,4180,095,Math,Did Not Yet Meet,1,2,1
01,4180,095,Math,Partially Met,15,13,8
01,4180,095,Math,Approached,18,10,8
01,4180,095,Math,Met,6,8,6
01,4180,095,Math,Exceeded,1,1,0
01,4240,050,ELA,Did Not Yet Meet,0,0,2
01,4240,050,ELA,Partially Met,2,5,9
01,4240,050,ELA,Approached,12,7,11
01,4240,050,ELA,Met,9,19,14
01,4240,050,ELA,Exceeded,0,4,7
01,4240,050,Math,Did Not Yet Meet,0,0,2
01,4240,050,Math,Partially Met,2,2,8
01,4240,050,Math,Approached,15,13,15
01,4240,050,Math,Met,10,13,17
01,4240,050,Math,Exceeded,0,2,2
01,4800,050,ELA,Did Not Yet Meet,9,3,8
01,4800,050,ELA,Partially Met,5,7,5
01,4800,050,ELA,Approached,13,7,7
01,4800,050,ELA,Met,17,8,8
01,4800,050,ELA,Exceeded,0,1,0
01,4800,050,Math,Did Not Yet Meet,6,3,8
01,4800,050,Math,Partially Met,6,9,13
01,4800,050,Math,Approached,11,8,15
01,4800,050,Math,Met,8,4,7
01,4800,055,ELA,Did Not Yet Meet,6,5,4
01,4800,055,ELA,Partially Met,14,5,8
01,4800,055,ELA,Approached,7,7,10
01,4800,055,ELA,Met,13,8,9
01,4800,055,ELA,Exceeded,2,2,1
01,4800,055,Math,Did Not Yet Meet,4,4,4
01,4800,055,Math,Partially Met,13,10,16
01,4800,055,Math,Approached,11,8,4
01,4800,055,Math,Met,11,4,8
01,4800,055,Math,Exceeded,0,1,1
01,5350,040,ELA,Did Not Yet Meet,1,2,2
01,5350,040,ELA,Partially Met,4,6,7
01,5350,040,ELA,Approached,4,9,15
01,5350,040,ELA,Met,7,12,21
01,5350,040,ELA,Exceeded,3,2,2
01,5350,040,Math,Did Not Yet Meet,0,2,3
01,5350,040,Math,Partially Met,2,7,5
01,5350,040,Math,Approached,9,10,18
01,5350,040,Math,Met,9,12,18
01,5350,040,Math,Exceeded,1,1,3
01,5350,045,ELA,Did Not Yet Meet,3,3,5
01,5350,045,ELA,Partially Met,3,8,3
01,5350,045,ELA,Approached,10,10,2
01,5350,045,ELA,Met,29,15,5
01,5350,045,ELA,Exceeded,5,0,0
01,5350,045,Math,Did Not Yet Meet,0,3,5
01,5350,045,Math,Partially Met,5,2,8
01,5350,045,Math,Approached,8,8,8
01,5350,045,Math,Met,21,11,5
01,5350,045,Math,Exceeded,6,8,2
01,5760,020,ELA,Did Not Yet Meet,6,5,3
01,5760,020,ELA,Partially Met,11,3,8
01,5760,020,ELA,Approached,8,16,8
01,5760,020,ELA,Met,11,5,14
01,5760,020,ELA,Exceeded,2,0,0
01,5760,020,Math,Did Not Yet Meet,2,2,6
01,5760,020,Math,Partially Met,7,15,9
01,5760,020,Math,Approached,6,7,17
01,5760,020,Math,Met,7,2,19
01,5760,020,Math,Exceeded,0,0,2
03,0040,010,ELA,Did Not Yet Meet,0,0,1
03,0040,010,ELA,Partially Met,1,2,0
03,0040,010,ELA,Approached,4,5,7
03,0040,010,ELA,Met,15,14,20
03,0040,010,ELA,Exceeded,11,10,11
03,0040,010,Math,Did Not Yet Meet,0,0,0
03,0040,010,Math,Partially Met,0,0,3
03,0040,010,Math,Approached,6,8,5
03,0040,010,Math,Met,16,21,26
03,0040,010,Math,Exceeded,4,3,8
03,0080,010,ELA,Partially Met,1,0,1
03,0080,010,ELA,Approached,4,0,8
03,0080,010,ELA,Met,13,12,21
03,0080,010,ELA,Exceeded,14,9,16
03,0080,010,Math,Partially Met,0,2,5
03,0080,010,Math,Approached,8,9,8
03,0080,010,Math,Met,19,9,16
03,0080,010,Math,Exceeded,5,8,13
03,0300,040,ELA,Did Not Yet Meet,2,0,3
03,0300,040,ELA,Partially Met,3,3,4
03,0300,040,ELA,Approached,4,10,19
03,0300,040,ELA,Met,11,14,24
